sig,m,avcol,chi
C?,0,2.466666666666667,1
C@,1,2.7,2
C`,2,2.857142857142857,2
CB,2,2.857142857142857,2
CR,3,3,2
CF,3,3,2
CJ,3,3.25,3
Cr,4,3,2
CN,4,3.3333333333333335,3
C^,5,3.5,3
C~,6,4,4
