sig,m,numcol,chi
F????,0,877,1
F???G,1,674,2
F???W,2,523,2
F?C?G,2,523,2
F??GW,3,372,3
F??OW,3,409,2
F???w,3,409,2
F??H_,3,409,2
FGC?G,3,409,2
F@?GW,4,295,3
F??Gw,4,295,3
F??Hg,4,322,2
F??@w,4,322,2
F??J_,4,322,2
F??go,4,322,2
F?@H_,4,322,2
F@?M?,4,322,2
FG?OW,4,322,2
F?COW,4,332,2
F??Ww,5,218,3
F?CZ?,5,235,3
F@?IW,5,235,3
F@?Gw,5,235,3
F??gw,5,235,3
F??Hw,5,235,3
F`?GW,5,235,3
F@GOW,5,252,3
F?DPO,5,255,2
F?o_g,5,255,2
F?GQW,5,255,2
F?@Hg,5,255,2
F?CeG,5,255,2
F??^?,5,255,2
F??ZO,5,255,2
F_GOW,5,255,2
F??N_,5,255,2
F??Bw,5,255,2
F??Jg,5,255,2
FGCOW,5,262,2
F??Xo,5,262,2
F?CWw,6,141,4
F?CXW,6,175,3
FG?Ww,6,175,3
F??Xw,6,175,3
F@?Hw,6,175,3
FJ?GW,6,175,3
F@MAG,6,188,3
F`?Gw,6,188,3
F??Jw,6,188,3
F@@Gw,6,188,3
F??ZW,6,188,3
F?C^?,6,188,3
F@?Iw,6,188,3
F@?MW,6,188,3
F?Ogw,6,188,3
F?D_w,6,188,3
F_?gw,6,188,3
F?D`o,6,188,3
F?Dco,6,188,3
F@?gw,6,192,3
F?GZ_,6,201,3
F`GOW,6,201,3
FCO_w,6,203,2
F@IQO,6,203,2
F?G]_,6,203,2
F?_ZG,6,203,2
F?AZO,6,203,2
F?GUW,6,203,2
F??^O,6,203,2
F?HSo,6,203,2
F??^G,6,203,2
F??Fw,6,203,2
F??Ng,6,203,2
FI?go,6,204,2
F@G]?,6,208,2
F?@Xo,6,208,2
F?DPW,6,208,2
F??Zo,6,208,2
F?Opo,6,208,2
FG?[o,6,208,2
F??xo,6,219,2
F?CXw,7,115,4
FGCWw,7,115,4
F??xw,7,132,3
F?GXw,7,132,3
F?D`w,7,141,3
F?CZW,7,141,3
F?@Xw,7,141,3
F@?Jw,7,141,3
F?GYw,7,141,3
F??Zw,7,141,3
FG?[w,7,141,3
FG?Xw,7,141,3
FGC^?,7,141,3
F?opg,7,141,3
F?DXo,7,141,3
FGD_w,7,141,3
FGC[W,7,141,3
FGCXW,7,141,3
F`?Hw,7,141,3
F@GWw,7,149,3
FI?gw,7,150,3
FCDHW,7,151,3
F?StG,7,151,3
F@`@w,7,151,3
F@`J_,7,151,3
F@OsW,7,151,3
F?C~?,7,151,3
F?C}O,7,151,3
FCOpW,7,151,3
F??Nw,7,151,3
F?C^G,7,151,3
F@@Kw,7,151,3
F?G]W,7,151,3
F?G]g,7,151,3
F@?Mw,7,151,3
F?AZW,7,151,3
F?Dcw,7,151,3
F??^W,7,151,3
F?Ddo,7,151,3
F?GZg,7,154,3
F?Dbo,7,154,3
F`?gw,7,154,3
F?WXg,7,154,3
F@Ogw,7,154,3
FwCOW,7,154,3
F?G^_,7,161,3
F_GZ_,7,161,3
F@Aio,7,161,3
F@IQW,7,161,3
FoDPO,7,162,3
F?Sv?,7,163,2
FG@Xo,7,163,3
F??^o,7,166,2
F??}o,7,166,2
F?Cmg,7,166,2
F?Oto,7,166,2
F@O\G,7,166,2
F?O|_,7,166,2
F?db_,7,166,2
F?SsW,7,166,2
F?KuG,7,166,2
FGDHg,7,170,2
F_?xo,7,174,2
F?Oxo,7,174,2
F??zo,7,174,2
F?Cxw,8,89,4
F?DXw,8,94,4
FGCXw,8,94,4
FGC[w,8,94,4
FWCWw,8,94,4
F?CZw,8,94,4
F@GXw,8,106,3
FGCZW,8,107,3
F?HXw,8,107,3
F?Oxw,8,107,3
F_GXw,8,107,3
FAChw,8,107,3
F_?xw,8,107,3
F?Dbw,8,107,3
F?GZw,8,107,3
F??zw,8,107,3
Fw?Ww,8,107,3
FGDXo,8,112,3
F??^w,8,114,3
F?G]w,8,114,3
F??}w,8,114,3
FG?\w,8,114,3
F?C^W,8,114,3
F?Ddw,8,114,3
F@?Nw,8,114,3
FPCYW,8,114,3
F?`Xw,8,114,3
F?C~G,8,114,3
FAG[w,8,114,3
F`BHo,8,114,3
FGC\W,8,114,3
FGC^G,8,114,3
F`?Jw,8,114,3
F?C}o,8,114,3
F?O|g,8,114,3
F@`Jg,8,114,3
FA_hw,8,114,3
F@`Hw,8,114,3
F?C}W,8,114,3
F?org,8,114,3
F?opw,8,114,3
F?hPw,8,114,3
FAClW,8,114,3
F@K]G,8,114,3
F@pHg,8,114,3
FgCXW,8,114,3
FACjW,8,116,3
FG@Xw,8,116,3
F?SrW,8,116,3
FASpW,8,116,3
FHGWw,8,120,3
F?Czo,8,120,3
F@GYw,8,120,3
F`GWw,8,120,3
FGoXg,8,121,3
FI_gw,8,121,3
F@DNG,8,121,3
F_G^_,8,121,3
F?xPg,8,121,3
Fq?gw,8,122,3
F`Ogw,8,124,3
F?G^g,8,124,3
FoD_w,8,124,3
F?Dfo,8,124,3
FDHGw,8,124,3
F?Dlo,8,124,3
F@Aiw,8,124,3
F_WXg,8,124,3
F?Fbo,8,124,3
F?C~O,8,124,3
F@MQW,8,124,3
F@G]W,8,124,3
F@DLW,8,124,3
F?StW,8,124,3
F?YRg,8,124,3
FCOjg,8,124,3
F@QJg,8,124,3
F?Sz_,8,125,3
F`AZO,8,129,3
F?Djo,8,129,3
F?O~_,8,131,3
F?oz_,8,131,3
FG`Xo,8,131,3
FoDPW,8,132,3
Fo@Xo,8,134,2
F@oZG,8,136,2
F?df_,8,136,2
FAG^G,8,136,2
F_?zo,8,139,2
F@IYo,8,139,2
F?O|o,8,139,2
F?KuW,8,139,2
F??~o,8,139,2
F?Azo,8,139,2
F_Oxo,8,139,2
FAOxo,8,145,2
F?@zo,8,149,2
F?Kxw,9,63,4
F?Sxw,9,73,4
FwCWw,9,73,4
F?Czw,9,73,4
FGCZw,9,73,4
FGCxw,9,73,4
F_Cxw,9,73,4
F?C}w,9,77,4
FOCyw,9,77,4
FGC\w,9,77,4
FWCYw,9,77,4
F@N@w,9,77,4
F?dXw,9,77,4
F?C^w,9,77,4
FGDXw,9,78,4
F?Ozw,9,82,3
F?Srw,9,82,3
FAHXw,9,82,3
F?@zw,9,82,3
F?XXw,9,82,3
F?Lpw,9,86,3
F@GZw,9,86,3
F`GXw,9,86,3
F?G^w,9,87,3
F?Azw,9,87,3
F?Dfw,9,87,3
FGeZ_,9,87,3
F@hPw,9,87,3
F??~w,9,87,3
FIGXw,9,87,3
FPDIw,9,87,3
F_Oxw,9,87,3
F?Miw,9,87,3
F@ouW,9,87,3
F?K}W,9,87,3
FAEhw,9,87,3
F@NAw,9,87,3
F@C}W,9,87,3
FAClw,9,87,3
F?dbw,9,87,3
FCOxw,9,87,3
F@O{w,9,87,3
FOPXw,9,87,3
FGEZo,9,87,3
F`?Nw,9,87,3
F@RHw,9,87,3
F?C~W,9,87,3
F`BHw,9,87,3
F?Fbw,9,87,3
F_?zw,9,87,3
F?O|w,9,87,3
F@`Jw,9,87,3
F?H\w,9,87,3
FGC^W,9,87,3
F_GZw,9,87,3
FGC}o,9,91,3
FGCzo,9,91,3
FGSsw,9,91,3
FYCXW,9,91,3
F@HYw,9,91,3
F@Diw,9,91,3
Fo@Xw,9,92,3
FCUrO,9,92,3
FB_mW,9,92,3
F@hUW,9,92,3
FWEYo,9,93,3
F@`Ng,9,94,3
F?O~g,9,94,3
FACnW,9,94,3
F?SvW,9,94,3
F?ovg,9,94,3
FAIZo,9,94,3
FG`Xw,9,94,3
F@P\W,9,94,3
FAG}o,9,94,3
FGE^O,9,94,3
F`G]W,9,94,3
FHEIw,9,94,3
F@YQw,9,94,3
F@hQw,9,94,3
FWC]W,9,94,3
FJ_gw,9,94,3
F?NRo,9,94,3
FGQXw,9,94,3
F?W}g,9,94,3
F?ozg,9,94,3
FJOgw,9,96,3
FCS~?,9,97,3
F`GYw,9,97,3
FhGWw,9,97,3
F?C~o,9,97,3
F@G]w,9,97,3
FGC|o,9,97,3
FODZo,9,97,3
F?Ezo,9,97,3
F?Lto,9,97,3
F@IYw,9,97,3
F@Dkw,9,97,3
F?K~_,9,97,3
FCdrO,9,99,3
F?NVO,9,99,3
FAI^O,9,99,3
FGM]_,9,100,3
F?Lro,9,100,3
F?Luo,9,101,3
FALcw,9,101,3
FIEho,9,101,3
F?S~_,9,101,3
FKdPW,9,102,3
F`AZW,9,102,3
FGcuW,9,102,3
FQG]W,9,102,3
F_KuW,9,104,3
F?YZg,9,104,3
F?dro,9,104,3
F?P|o,9,104,3
F@`Zo,9,104,3
F?Ffo,9,104,3
F?Dno,9,104,3
F?Dzo,9,104,3
F?dn_,9,106,3
FCUj_,9,107,3
F_Azo,9,109,3
FK`Xo,9,110,3
F?ur_,9,112,2
F@FNO,9,114,2
F@H]o,9,116,2
FI_xo,9,116,2
F?@~o,9,119,2
F?`zo,9,119,2
FIOxo,9,125,2
F@Kxw,10,37,5
F_Kxw,10,52,4
F?Kzw,10,52,4
F@Kyw,10,52,4
FASxw,10,57,4
F?Dzw,10,57,4
