sig,m,numcol,chi
G?????,0,4140,1
G????C,1,3263,2
G??G?C,2,2589,2
G????K,2,2589,2
G???GK,3,1915,3
G???Go,3,2066,2
G???OK,3,2066,2
G????[,3,2066,2
G@?G?C,3,2066,2
G?C?GK,4,1543,3
G???G[,4,1543,3
G??@Go,4,1657,2
G????{,4,1657,2
G???Gs,4,1657,2
G???Ho,4,1657,2
G`?G?C,4,1657,2
G@??OK,4,1657,2
G???gW,4,1657,2
G?C?J?,4,1657,2
G??GOK,4,1694,2
G???W[,5,1171,3
G???G{,5,1248,3
G???g[,5,1248,3
G??GX_,5,1248,3
G?C?G[,5,1248,3
G?C?HK,5,1248,3
GGC?GK,5,1248,3
G?COOK,5,1325,3
G??GbC,5,1335,2
G??OPK,5,1335,2
G_?@Go,5,1335,2
G??HOg,5,1335,2
G?@__S,5,1335,2
G?C?N?,5,1335,2
G???@{,5,1335,2
G???Z_,5,1335,2
G???Xg,5,1335,2
G??@Gs,5,1335,2
G???Hs,5,1335,2
G???Jo,5,1335,2
GG?OOK,5,1335,2
G`??OK,5,1335,2
G@?GOK,5,1362,2
G???Ww,5,1362,2
G??GW[,6,799,4
G???W{,6,953,3
G@??W[,6,953,3
G@K?GK,6,953,3
G??GWk,6,953,3
G?C?G{,6,953,3
G??H_w,6,1013,3
G?CY@C,6,1013,3
G??GXc,6,1013,3
GG??g[,6,1013,3
G??OXS,6,1013,3
G??HaW,6,1013,3
G_K?GK,6,1013,3
G?C?H[,6,1013,3
G?C?JK,6,1013,3
G??_g[,6,1013,3
G??GZ_,6,1013,3
GGC?G[,6,1013,3
GGC?KK,6,1013,3
G???H{,6,1013,3
G???Xk,6,1013,3
G??Gok,6,1030,3
G??OXo,6,1073,3
GGCOOK,6,1073,3
G??O^?,6,1080,2
G??HeG,6,1080,2
G?C@MG,6,1080,2
G?@?Xc,6,1080,2
G_?@Gs,6,1080,2
G_GOOK,6,1080,2
G??ORK,6,1080,2
G??GfC,6,1080,2
G?CQPG,6,1080,2
G??OZO,6,1080,2
G??PQW,6,1080,2
G?o__K,6,1080,2
G?`H?c,6,1080,2
G???No,6,1080,2
G???Js,6,1080,2
G??AXg,6,1080,2
G???B{,6,1080,2
G??CZ_,6,1080,2
G???Zg,6,1080,2
G???^_,6,1080,2
G???Zc,6,1080,2
G?O__[,6,1080,2
GG?OSK,6,1080,2
G@G?gW,6,1083,2
G??_ow,6,1100,2
G??HOk,6,1100,2
G@??YW,6,1100,2
G`?GOK,6,1100,2
G???Xw,6,1100,2
G??@Ww,6,1100,2
G?COZ?,6,1100,2
G???ww,6,1144,2
G??GW{,7,658,4
G@?GW[,7,658,4
G??OW{,7,735,3
G???w{,7,735,3
G??@W{,7,778,3
G???X{,7,778,3
G?@_os,7,778,3
G@?GZ_,7,778,3
G@??W{,7,778,3
G@??Y[,7,778,3
G`??W[,7,778,3
G`K?GK,7,778,3
G?C?H{,7,778,3
G??OX[,7,778,3
G@?H_[,7,778,3
G@?GYK,7,778,3
G??H_{,7,778,3
G@?GWk,7,778,3
GGC?G{,7,778,3
G??GXk,7,778,3
G??HWw,7,778,3
G?COW[,7,812,3
G@G?g[,7,821,3
G??Gz_,7,825,3
G??GZc,7,825,3
G?D@?{,7,825,3
GGC?K[,7,825,3
G??JcW,7,825,3
G??G^_,7,825,3
G??gqc,7,825,3
G???J{,7,825,3
G??GzG,7,825,3
G??sQS,7,825,3
G???Zk,7,825,3
G??AXk,7,825,3
