m,numcol,chi,mult
0,4140,1,1
1,3263,2,1
2,2589,2,2
3,1915,3,1
3,2066,2,4
4,1543,3,2
4,1657,2,8
4,1694,2,1
5,1171,3,1
5,1248,3,6
5,1325,3,1
5,1335,2,14
5,1362,2,2
6,799,4,1
6,953,3,5
6,1013,3,15
6,1030,3,1
6,1073,3,2
6,1080,2,23
6,1083,2,1
6,1100,2,7
6,1144,2,1
7,658,4,2
7,735,3,2
7,778,3,17
7,812,3,1
7,821,3,1
7,825,3,33
7,838,3,6
7,872,3,6
7,876,3,1
7,877,2,23
7,879,2,2
7,881,3,1
7,892,2,16
7,908,2,1
7,925,2,3
8,517,4,1
8,543,4,6
8,594,3,1
8,603,3,10
8,629,3,1
8,637,3,47
8,646,3,4
8,663,3,4
8,671,3,7
8,674,3,44
8,675,3,1
8,684,3,24
8,689,3,1
8,706,3,1
8,709,3,1
8,711,3,10
8,714,3,1
8,715,2,1
8,716,2,5
8,718,3,4
8,722,3,1
8,726,2,28
8,729,2,1
8,738,2,5
8,751,2,10
8,776,2,1
8,793,2,1
9,376,4,1
9,428,4,6
9,449,4,13
9,454,4,1
9,471,3,5
9,488,3,3
9,496,3,44
9,497,3,1
9,514,3,3
9,517,3,4
9,521,3,4
9,523,3,85
9,525,3,1
9,530,3,26
9,540,3,1
9,543,3,15
9,546,3,1
9,550,3,22
9,552,3,1
9,553,3,5
9,555,3,3
9,557,3,1
9,559,3,1
9,560,3,60
9,564,3,5
9,568,3,4
9,574,3,1
9,577,3,9
9,579,3,1
9,580,3,3
9,582,3,1
9,587,2,1
9,587,3,13
9,589,3,1
9,590,3,5
9,592,3,1
9,593,3,1
9,594,2,1
9,595,2,4
9,602,2,14
9,602,3,1
9,606,3,1
9,612,2,19
9,613,2,1
9,622,2,1
9,631,2,3
9,644,2,3
9,670,2,1
10,235,5,1
10,313,4,3
10,339,4,4
10,355,4,22
10,365,4,2
10,371,4,1
10,372,4,19
10,376,4,6
10,382,3,2
10,389,3,32
10,402,3,10
10,405,3,4
10,408,3,1
10,409,3,109
10,410,3,5
10,414,3,12
10,423,3,22
10,425,3,2
10,426,3,14
10,429,3,25
10,430,3,2
10,431,3,5
10,432,3,4
10,434,3,1
10,436,3,102
10,439,3,6
10,443,3,3
10,444,3,2
10,446,3,33
10,448,3,6
10,449,3,3
10,450,3,1
10,451,3,4
10,452,3,3
10,453,3,1
10,456,3,20
10,457,3,6
10,458,3,6
10,459,3,7
10,460,3,1
10,461,3,3
10,463,3,17
10,464,3,1
10,466,3,23
10,468,3,1
10,470,3,4
10,473,3,33
10,477,3,2
10,478,3,1
10,480,3,1
10,481,3,1
10,483,3,4
10,486,3,6
10,488,3,3
10,490,3,1
10,493,3,3
10,495,2,1
10,495,3,1
