m,numcol,chi,mult
0,52,1,1
1,37,2,1
2,27,2,2
3,17,3,1
3,20,2,3
4,13,3,2
4,15,2,3
4,16,2,1
5,9,3,1
5,10,3,3
5,11,3,1
5,12,2,1
6,5,4,1
6,7,3,3
6,8,3,1
6,10,2,1
7,4,4,1
7,5,3,2
7,6,3,1
8,3,4,1
8,4,3,1
9,2,4,1
10,1,5,1
