m,avcol,chi,mult
0,2.9038461538461537,1,1
1,3.081081081081081,2,1
2,3.2222222222222223,2,2
3,3.35,2,3
3,3.5294117647058822,3,1
4,3.375,2,1
4,3.466666666666667,2,3
4,3.6153846153846154,3,2
5,3.5,2,1
5,3.6363636363636362,3,1
5,3.7,3,3
5,3.7777777777777777,3,1
6,3.5,2,1
6,3.75,3,1
6,3.857142857142857,3,3
6,4.2,4,1
7,3.8333333333333335,3,1
7,4,3,2
7,4.25,4,1
8,4,3,1
8,4.333333333333333,4,1
9,4.5,4,1
10,5,5,1
