sig,m,numcol,chi
D??,0,52,1
D?C,1,37,2
D?K,2,27,2
DGC,2,27,2
D@K,3,17,3
D?[,3,20,2
DAK,3,20,2
D@o,3,20,2
D`K,4,13,3
D@[,4,13,3
D?{,4,15,2
DDW,4,15,2
D@s,4,15,2
DIK,4,16,2
DB[,5,9,3
DD[,5,10,3
D@{,5,10,3
D`[,5,10,3
DqK,5,11,3
DBw,5,12,2
DJ[,6,5,4
DJk,6,7,3
DB{,6,7,3
D`{,6,7,3
Dd[,6,8,3
DFw,6,10,2
DJ{,7,4,4
DR{,7,5,3
DF{,7,5,3
Dr[,7,6,3
DN{,8,3,4
Dr{,8,4,3
D^{,9,2,4
D~{,10,1,5
