sig,m,numcol,chi
C?,0,15,1
C@,1,10,2
CB,2,7,2
C`,2,7,2
CJ,3,4,3
CR,3,5,2
CF,3,5,2
CN,4,3,3
Cr,4,4,2
C^,5,2,3
C~,6,1,4
