sig,m,eci,d,diam
D?{,4,12,4,2
D@s,4,19,4,3
DDW,4,24,4,4
D@{,5,16,3,2
DqK,5,20,3,2
DD[,5,22,3,3
DBw,5,23,3,3
D`[,5,25,3,3
D`{,6,20,3,2
DB{,6,20,3,2
Dd[,6,24,3,2
DFw,6,24,3,2
DJk,6,27,3,3
DF{,7,20,2,2
DJ{,7,24,2,2
DR{,7,24,2,2
Dr[,7,28,2,2
DN{,8,24,2,2
Dr{,8,28,2,2
D^{,9,24,2,2
D~{,10,20,1,1
