m,avcol,chi,mult
0,4.484229441528349,1,1
1,4.575821720468043,2,1
2,4.662179860302677,2,2
3,4.744240251008517,2,4
3,4.802308939986642,3,1
4,4.8004329004329005,2,1
4,4.8226427549785456,2,8
4,4.8759047396684565,3,2
5,4.878081102570898,2,2
5,4.897874058127019,2,15
5,4.906964164976335,3,1
5,4.947173572547344,3,6
5,4.991880920162382,3,1
6,4.914509803921568,2,1
6,4.9524579560155235,2,7
6,4.966595709841166,2,1
6,4.970313268820732,2,29
6,4.978088962108732,3,2
6,5.000683526999317,3,1
6,5.0162770562770564,3,16
6,5.058576642335766,3,5
6,5.20164695945946,4,1
7,4.989294589944561,2,3
7,5.006596818005432,2,1
7,5.023996852871755,2,18
7,5.037221337579618,2,2
7,5.038690476190476,3,1
7,5.040263105441499,2,46
7,5.041882728360591,3,1
7,5.047028216930158,3,7
7,5.068851099128992,3,6
7,5.080965605639821,3,1
7,5.083368332633348,3,40
7,5.088935721812434,3,1
7,5.123481334216921,3,17
7,5.161522394987236,3,2
7,5.257302514605029,4,2
8,5.010008896797153,2,1
8,5.030549898167006,2,1
8,5.061077566186716,2,11
8,5.077249175694772,2,5
8,5.087556507256721,2,1
8,5.093034351145038,2,46
8,5.099616858237548,3,1
8,5.105428226779252,2,7
8,5.105945681428921,3,1
8,5.10603510459245,3,4
8,5.107220478145376,2,1
8,5.107971014492754,2,47
8,5.10923151280812,3,2
8,5.113939393939394,3,17
8,5.116861030126336,3,1
8,5.130423940149626,3,1
8,5.13504016064257,3,26
8,5.146663283430601,3,1
8,5.147324890152494,3,4
8,5.148590297180594,3,84
8,5.1536697247706424,3,7
8,5.174050632911392,3,4
8,5.186716457722059,3,53
8,5.201884253028264,3,1
8,5.214814814814815,3,1
8,5.22299944040291,3,10
8,5.31229033241842,4,6
8,5.3413001912045885,4,1
9,5.049411764705883,2,1
9,5.0829057520928975,2,3
9,5.102113642602251,2,3
9,5.114444444444445,2,1
9,5.127073376440821,2,1
9,5.130239099859353,2,30
9,5.141643059490085,3,1
9,5.145381984036488,2,19
9,5.149444918872758,3,1
9,5.155152561888313,2,5
9,5.157348703170029,2,1
9,5.159307875894988,3,1
9,5.159838430467397,2,71
9,5.16199826739821,3,1
9,5.162824207492795,3,1
9,5.165605095541402,3,7
9,5.167345750873109,2,1
9,5.170865913698234,3,1
9,5.17146178436501,3,17
9,5.171478565179353,2,13
