m,avcol,chi,mult
0,4.107971014492754,1,1
1,4.2120747778118295,2,1
2,4.308613364233294,2,2
3,4.399322362052275,2,4
3,4.473107049608355,3,1
4,4.454545454545454,2,1
4,4.485214242607121,2,8
4,4.55152300712897,3,2
5,4.540381791483113,2,2
5,4.567041198501872,2,14
5,4.581132075471698,3,1
5,4.627403846153846,3,6
5,4.679760888129803,3,1
6,4.5725524475524475,2,1
6,4.621818181818182,2,7
6,4.638965835641736,2,1
6,4.645370370370371,2,23
6,4.657036346691519,3,2
6,4.681553398058252,3,1
6,4.700888450148075,3,15
6,4.750262329485834,3,5
6,4.927409261576972,4,1
7,4.6551351351351355,2,3
7,4.676211453744493,2,1
7,4.699551569506727,2,16
7,4.715585893060296,2,2
7,4.720638540478905,2,23
7,4.720771850170261,3,1
7,4.723744292237443,3,1
7,4.730504587155964,3,6
7,4.75417661097852,3,6
7,4.764778325123153,3,1
7,4.772121212121212,3,33
7,4.779537149817296,3,1
7,4.818766066838046,3,17
7,4.862585034013605,3,2
7,4.9832826747720365,4,2
8,4.669609079445145,2,1
8,4.694587628865979,2,1
8,4.733688415446072,2,10
8,4.753387533875339,2,5
8,4.765432098765432,2,1
8,4.774104683195592,2,28
8,4.78393351800554,3,1
8,4.788951841359774,3,1
8,4.789106145251397,2,5
8,4.791608391608392,2,1
8,4.7924791086350975,3,4
8,4.795518207282913,3,1
8,4.801687763713081,3,10
8,4.805359661495063,3,1
8,4.820029027576197,3,1
8,4.824561403508772,3,24
8,4.835595776772247,3,4
8,4.838518518518518,3,1
8,4.841246290801187,3,44
8,4.847988077496274,3,7
8,4.869969040247678,3,4
8,4.885400313971743,3,47
8,4.906200317965024,3,1
8,4.909090909090909,3,1
8,4.927031509121061,3,10
8,5.038674033149171,4,6
8,5.06963249516441,4,1
9,4.708955223880597,2,1
9,4.75,2,3
9,4.77337559429477,2,3
9,4.787781350482315,2,1
9,4.802610114192496,2,1
9,4.8088235294117645,2,19
9,4.8250825082508255,3,1
9,4.827242524916944,2,14
9,4.835548172757475,3,1
9,4.838655462184874,2,4
9,4.839721254355401,3,1
9,4.841750841750842,2,1
9,4.849662162162162,3,1
9,4.851602023608769,3,1
9,4.853492333901192,2,1
9,4.854237288135593,3,5
9,4.859618717504333,3,9
9,4.862010221465076,3,13
9,4.862478777589134,3,1
9,4.869415807560137,3,1
9,4.874137931034483,3,3
9,4.876760563380282,3,4
9,4.877374784110535,3,1
9,4.879712746858169,3,1
9,4.888297872340425,3,5
9,4.892857142857143,3,60
9,4.894454382826476,3,1
9,4.904235727440147,3,15
9,4.905967450271247,3,5
9,4.906306306306306,3,3
9,4.909420289855072,3,1
9,4.914545454545454,3,22
9,4.9222222222222225,3,1
9,4.924908424908425,3,1
9,4.935849056603773,3,26
9,4.942857142857143,3,1
9,4.947470817120623,3,3
9,4.950286806883366,3,85
9,4.955854126679463,3,4
9,4.9690522243713735,3,4
9,4.975409836065574,3,3
9,4.98991935483871,3,44
9,4.9959758551307845,3,1
9,5.0276008492569,3,5
9,5.083700440528634,4,1
9,5.093541202672606,4,13
9,5.123831775700935,4,6
9,5.220744680851064,4,1
10,4.750889679715303,2,1
10,4.7889908256880735,2,2
10,4.794444444444444,2,1
10,4.811676082862523,2,1
10,4.826666666666667,2,7
10,4.848543689320389,2,9
10,4.862204724409449,2,8
10,4.870775347912525,2,1
10,4.874501992031872,2,1
10,4.875494071146245,3,1
