m,avcol,chi,mult
0,2.466666666666667,1,1
1,2.7,2,1
2,2.857142857142857,2,2
3,3,2,2
3,3.25,3,1
4,3,2,1
4,3.3333333333333335,3,1
5,3.5,3,1
6,4,4,1
