m,avcol,chi,mult
11,4.6,3,1
11,4.638888888888889,3,1
11,4.642857142857143,3,2
11,4.666666666666667,3,1
11,4.676470588235294,3,1
11,4.701492537313433,3,1
11,4.707692307692308,3,3
11,4.712121212121212,3,1
11,4.71875,3,3
11,4.73015873015873,3,2
11,4.737704918032787,3,6
11,4.7384615384615385,3,1
11,4.75,3,1
11,4.758064516129032,3,6
11,4.770491803278689,3,2
11,4.793103448275862,3,2
11,4.8,3,7
11,4.810344827586207,3,3
11,4.813559322033898,3,2
11,4.824561403508772,3,16
11,4.830508474576271,3,1
11,4.839285714285714,3,2
11,4.844827586206897,3,1
11,4.851851851851852,3,11
11,4.872727272727273,3,5
11,4.888888888888889,3,1
11,4.903846153846154,3,12
11,4.907407407407407,4,1
11,4.921568627450981,4,1
11,4.9245283018867925,4,2
11,4.9411764705882355,4,7
11,4.96,4,6
11,4.979591836734694,4,1
11,5,4,21
11,5.069767441860465,4,7
11,5.097560975609756,4,3
11,5.387096774193548,5,2
12,4.466666666666667,2,1
12,4.666666666666667,3,1
12,4.714285714285714,3,1
12,4.722222222222222,3,2
12,4.735849056603773,3,1
12,4.745454545454545,3,1
12,4.773584905660377,3,1
12,4.784313725490196,3,3
12,4.8076923076923075,3,1
12,4.818181818181818,3,1
12,4.82,3,5
12,4.836734693877551,3,3
12,4.851063829787234,3,6
12,4.854166666666667,3,1
12,4.866666666666666,3,6
12,4.869565217391305,3,2
12,4.875,3,1
12,4.8936170212765955,3,2
12,4.911111111111111,3,6
12,4.931818181818182,3,3
12,4.9523809523809526,3,11
12,4.954545454545454,4,1
12,4.955555555555556,4,1
12,4.975609756097561,3,1
12,4.976190476190476,4,2
12,4.976744186046512,4,4
12,5,4,3
12,5.025,4,12
12,5.051282051282051,4,2
12,5.052631578947368,4,7
12,5.078947368421052,4,1
12,5.081081081081081,4,14
12,5.085714285714285,4,1
12,5.111111111111111,4,2
12,5.142857142857143,4,1
12,5.147058823529412,4,14
12,5.233333333333333,4,2
12,5.423076923076923,5,3
12,5.44,5,1
13,4.7,3,1
13,4.777777777777778,3,1
13,4.8,3,1
13,4.85,3,3
13,4.853658536585366,3,2
13,4.871794871794871,3,2
13,4.888888888888889,3,1
13,4.9,3,1
13,4.923076923076923,3,1
13,4.945945945945946,3,4
13,4.9714285714285715,3,7
13,4.972222222222222,3,1
13,5,3,2
13,5,4,1
13,5.0285714285714285,4,3
13,5.029411764705882,4,1
13,5.0588235294117645,4,3
13,5.0606060606060606,4,6
13,5.09375,4,6
13,5.129032258064516,4,1
13,5.133333333333334,4,12
13,5.137931034482759,4,4
13,5.172413793103448,4,5
13,5.214285714285714,4,1
13,5.222222222222222,4,15
13,5.25,4,1
13,5.28,4,5
13,5.454545454545454,5,1
13,5.476190476190476,5,4
13,5.526315789473684,5,1
14,4.857142857142857,3,2
14,4.875,3,1
14,4.966666666666667,3,3
14,4.967741935483871,3,1
14,5,3,4
14,5.033333333333333,4,1
14,5.068965517241379,4,1
14,5.111111111111111,4,3
14,5.115384615384615,4,2
14,5.153846153846154,4,2
14,5.16,4,4
14,5.208333333333333,4,5
14,5.217391304347826,4,6
14,5.260869565217392,4,1
14,5.2727272727272725,4,7
14,5.3,4,2
14,5.333333333333333,4,2
14,5.35,4,9
14,5.5,5,1
14,5.529411764705882,5,4
14,5.5625,5,3
14,5.6923076923076925,5,1
15,5,3,3
15,5.136363636363637,4,1
15,5.190476190476191,4,3
15,5.2,4,4
15,5.25,4,1
15,5.2631578947368425,4,2
15,5.277777777777778,4,1
15,5.333333333333333,4,2
15,5.352941176470588,4,4
15,5.375,4,3
15,5.4375,4,1
15,5.466666666666667,4,5
15,5.533333333333333,5,1
15,5.571428571428571,5,2
15,5.615384615384615,5,5
15,5.7272727272727275,5,2
15,6.142857142857143,6,1
16,5,3,1
16,5.25,4,1
16,5.333333333333333,4,2
16,5.357142857142857,4,3
16,5.461538461538462,4,1
16,5.5,4,2
16,5.583333333333333,5,1
16,5.636363636363637,5,2
16,5.7,5,5
16,5.777777777777778,5,2
16,6.166666666666667,6,1
17,5.333333333333333,4,1
17,5.5,4,2
17,5.666666666666667,5,1
17,5.75,5,2
17,5.857142857142857,5,3
17,6.2,6,1
18,5.5,4,1
18,5.833333333333333,5,1
18,6,5,2
18,6.25,6,1
19,6,5,1
19,6.333333333333333,6,1
20,6.5,6,1
21,7,7,1
