m,avcol,chi,mult
0,3.7206385404789053,1,1
1,3.841246290801187,2,1
2,3.950286806883365,2,2
3,4.0513447432762835,2,4
3,4.147849462365591,3,1
4,4.102409638554217,2,1
4,4.145962732919255,2,7
4,4.230508474576271,3,2
5,4.198473282442748,2,2
5,4.235294117647059,2,11
5,4.257936507936508,3,1
5,4.31063829787234,3,6
5,4.371559633027523,3,1
6,4.223744292237443,2,1
6,4.288461538461538,2,6
6,4.3088235294117645,2,1
6,4.320197044334975,2,11
6,4.338308457711443,3,2
6,4.364583333333333,3,1
6,4.388297872340425,3,13
6,4.445714285714286,3,5
6,4.666666666666667,4,1
7,4.316091954022989,2,3
7,4.341176470588235,2,1
7,4.373493975903615,2,9
7,4.392638036809816,2,1
7,4.404907975460123,3,1
7,4.407407407407407,3,1
7,4.416149068322981,3,4
7,4.441558441558442,3,6
7,4.449664429530201,3,1
7,4.4635761589403975,3,18
7,4.473333333333334,3,1
7,4.5177304964539005,3,15
7,4.568181818181818,3,2
7,4.721739130434782,4,2
8,4.322147651006712,2,1
8,4.3517241379310345,2,1
8,4.402877697841727,2,7
8,4.426470588235294,2,3
8,4.440298507462686,2,1
8,4.46969696969697,3,1
8,4.4728682170542635,3,1
8,4.480916030534351,3,3
8,4.496124031007752,3,1
8,4.512,3,1
8,4.516129032258065,3,17
8,4.525,3,4
8,4.532786885245901,3,1
8,4.545454545454546,3,5
8,4.568965517241379,3,4
8,4.587719298245614,3,28
8,4.60377358490566,3,1
8,4.616071428571429,3,1
8,4.635514018691588,3,10
8,4.776595744680851,4,5
8,4.808988764044944,4,1
9,4.36,2,1
9,4.411764705882353,2,2
9,4.439655172413793,2,2
9,4.456140350877193,2,1
9,4.473214285714286,2,1
9,4.509090909090909,3,1
9,4.519230769230769,3,1
9,4.522935779816514,3,1
9,4.542056074766355,3,1
9,4.548076923076923,3,7
9,4.556603773584905,3,1
9,4.568627450980392,3,4
9,4.57,3,1
9,4.584158415841584,3,4
9,4.59,3,1
9,4.597938144329897,3,11
9,4.606060606060606,3,3
9,4.625,3,1
9,4.628865979381444,3,1
9,4.638297872340425,3,20
9,4.645161290322581,3,1
9,4.648351648351649,3,3
9,4.663043478260869,3,4
9,4.674418604651163,3,3
9,4.681318681318682,3,3
9,4.7011494252873565,3,31
9,4.712643678160919,3,1
9,4.7439024390243905,3,5
9,4.82051282051282,4,1
9,4.8311688311688314,4,7
9,4.863013698630137,4,6
9,4.968253968253968,4,1
10,4.403846153846154,2,1
10,4.45,2,1
10,4.454545454545454,2,1
10,4.474226804123711,2,1
10,4.56043956043956,3,1
10,4.561797752808989,3,1
10,4.586206896551724,3,2
10,4.595238095238095,3,3
10,4.6117647058823525,3,1
10,4.630952380952381,3,1
10,4.6375,3,1
10,4.63855421686747,3,1
10,4.6419753086419755,3,5
10,4.65,3,3
10,4.658536585365853,3,1
10,4.666666666666667,3,2
10,4.670886075949367,3,6
10,4.67948717948718,3,3
10,4.6923076923076925,3,1
10,4.701298701298701,3,6
10,4.7105263157894735,3,1
10,4.716216216216216,3,18
10,4.733333333333333,3,1
10,4.742857142857143,3,7
10,4.746478873239437,3,1
10,4.75,3,12
10,4.756756756756757,3,1
10,4.76056338028169,3,1
10,4.774647887323944,3,4
10,4.785714285714286,3,4
10,4.787878787878788,3,2
10,4.8059701492537314,3,24
10,4.875,4,4
10,4.887096774193548,4,2
10,4.888888888888889,4,1
10,4.916666666666667,4,15
10,4.947368421052632,4,4
10,5.019230769230769,4,3
10,5.351351351351352,5,1
11,4.470588235294118,2,1
11,4.581081081081081,3,1
