sig,m,avcol,chi
D??,0,2.9038461538461537,1
D?C,1,3.081081081081081,2
DGC,2,3.2222222222222223,2
D?K,2,3.2222222222222223,2
D@o,3,3.35,2
D?[,3,3.35,2
DAK,3,3.35,2
D@K,3,3.5294117647058822,3
DIK,4,3.375,2
D@s,4,3.466666666666667,2
D?{,4,3.466666666666667,2
DDW,4,3.466666666666667,2
D@[,4,3.6153846153846154,3
D`K,4,3.6153846153846154,3
DBw,5,3.5,2
DqK,5,3.6363636363636362,3
DD[,5,3.7,3
D`[,5,3.7,3
D@{,5,3.7,3
DB[,5,3.7777777777777777,3
DFw,6,3.5,2
Dd[,6,3.75,3
DB{,6,3.857142857142857,3
D`{,6,3.857142857142857,3
DJk,6,3.857142857142857,3
DJ[,6,4.2,4
Dr[,7,3.8333333333333335,3
DF{,7,4,3
DR{,7,4,3
DJ{,7,4.25,4
Dr{,8,4,3
DN{,8,4.333333333333333,4
D^{,9,4.5,4
D~{,10,5,5
