sig,m,avcol,chi
G?????,0,4.107971014492754,1
G????C,1,4.2120747778118295,2
G????K,2,4.308613364233294,2
G??G?C,2,4.308613364233294,2
G????[,3,4.399322362052275,2
G???OK,3,4.399322362052275,2
G???Go,3,4.399322362052275,2
G@?G?C,3,4.399322362052275,2
G???GK,3,4.473107049608355,3
G??GOK,4,4.454545454545454,2
G????{,4,4.485214242607121,2
G???Gs,4,4.485214242607121,2
G???Ho,4,4.485214242607121,2
G??@Go,4,4.485214242607121,2
G?C?J?,4,4.485214242607121,2
G@??OK,4,4.485214242607121,2
G`?G?C,4,4.485214242607121,2
G???gW,4,4.485214242607121,2
G?C?GK,4,4.55152300712897,3
G???G[,4,4.55152300712897,3
G???Ww,5,4.540381791483113,2
G@?GOK,5,4.540381791483113,2
G??HOg,5,4.567041198501872,2
G??GbC,5,4.567041198501872,2
G?@__S,5,4.567041198501872,2
G`??OK,5,4.567041198501872,2
GG?OOK,5,4.567041198501872,2
G_?@Go,5,4.567041198501872,2
G??OPK,5,4.567041198501872,2
G?C?N?,5,4.567041198501872,2
G???Jo,5,4.567041198501872,2
G???Z_,5,4.567041198501872,2
G??@Gs,5,4.567041198501872,2
G???@{,5,4.567041198501872,2
G???Xg,5,4.567041198501872,2
G???Hs,5,4.567041198501872,2
G?COOK,5,4.581132075471698,3
G??GX_,5,4.627403846153846,3
G?C?HK,5,4.627403846153846,3
GGC?GK,5,4.627403846153846,3
G?C?G[,5,4.627403846153846,3
G???g[,5,4.627403846153846,3
G???G{,5,4.627403846153846,3
G???W[,5,4.679760888129803,3
G???ww,6,4.5725524475524475,2
G??@Ww,6,4.621818181818182,2
G???Xw,6,4.621818181818182,2
G`?GOK,6,4.621818181818182,2
G?COZ?,6,4.621818181818182,2
G??_ow,6,4.621818181818182,2
G@??YW,6,4.621818181818182,2
G??HOk,6,4.621818181818182,2
G@G?gW,6,4.638965835641736,2
G???No,6,4.645370370370371,2
G???Js,6,4.645370370370371,2
G???Zc,6,4.645370370370371,2
G???B{,6,4.645370370370371,2
G??AXg,6,4.645370370370371,2
G???^_,6,4.645370370370371,2
G???Zg,6,4.645370370370371,2
G??CZ_,6,4.645370370370371,2
G??PQW,6,4.645370370370371,2
G_?@Gs,6,4.645370370370371,2
G?@?Xc,6,4.645370370370371,2
GG?OSK,6,4.645370370370371,2
G?O__[,6,4.645370370370371,2
G?C@MG,6,4.645370370370371,2
G??HeG,6,4.645370370370371,2
G??ORK,6,4.645370370370371,2
G??GfC,6,4.645370370370371,2
G??OZO,6,4.645370370370371,2
G??O^?,6,4.645370370370371,2
G_GOOK,6,4.645370370370371,2
G?`H?c,6,4.645370370370371,2
G?CQPG,6,4.645370370370371,2
G?o__K,6,4.645370370370371,2
GGCOOK,6,4.657036346691519,3
G??OXo,6,4.657036346691519,3
G??Gok,6,4.681553398058252,3
G??OXS,6,4.700888450148075,3
G?C?H[,6,4.700888450148075,3
G??HaW,6,4.700888450148075,3
G??_g[,6,4.700888450148075,3
G??H_w,6,4.700888450148075,3
G?C?JK,6,4.700888450148075,3
GGC?G[,6,4.700888450148075,3
GGC?KK,6,4.700888450148075,3
GG??g[,6,4.700888450148075,3
G??GXc,6,4.700888450148075,3
G???Xk,6,4.700888450148075,3
G???H{,6,4.700888450148075,3
G_K?GK,6,4.700888450148075,3
G??GZ_,6,4.700888450148075,3
G?CY@C,6,4.700888450148075,3
G@K?GK,6,4.750262329485834,3
G@??W[,6,4.750262329485834,3
G??GWk,6,4.750262329485834,3
G?C?G{,6,4.750262329485834,3
G???W{,6,4.750262329485834,3
G??GW[,6,4.927409261576972,4
GG??ww,7,4.6551351351351355,2
G???xw,7,4.6551351351351355,2
G??_ww,7,4.6551351351351355,2
G@?HGs,7,4.676211453744493,2
G???Zw,7,4.699551569506727,2
G?CO^?,7,4.699551569506727,2
G??gqK,7,4.699551569506727,2
G???zW,7,4.699551569506727,2
GGA?ow,7,4.699551569506727,2
G_?@Ww,7,4.699551569506727,2
G??_yo,7,4.699551569506727,2
G?C_Yc,7,4.699551569506727,2
G_?HOk,7,4.699551569506727,2
G??_qw,7,4.699551569506727,2
G@G[AC,7,4.699551569506727,2
G??GjS,7,4.699551569506727,2
G??WrC,7,4.699551569506727,2
G??ZCo,7,4.699551569506727,2
G?@H`o,7,4.699551569506727,2
G@??]W,7,4.699551569506727,2
G`G?gW,7,4.715585893060296,2
G??gr_,7,4.715585893060296,2
G???F{,7,4.720638540478905,2
G???^c,7,4.720638540478905,2
G???^g,7,4.720638540478905,2
G?CHM_,7,4.720638540478905,2
G???Ns,7,4.720638540478905,2
G???~G,7,4.720638540478905,2
G??CZc,7,4.720638540478905,2
G@GQSG,7,4.720638540478905,2
G??PUW,7,4.720638540478905,2
G??_uK,7,4.720638540478905,2
G??O^O,7,4.720638540478905,2
G??O^C,7,4.720638540478905,2
G?@PSo,7,4.720638540478905,2
G?@HcK,7,4.720638540478905,2
G??ZCS,7,4.720638540478905,2
G??OVK,7,4.720638540478905,2
G?O_c[,7,4.720638540478905,2
G?GU?[,7,4.720638540478905,2
G?CBKW,7,4.720638540478905,2
G?GQKo,7,4.720638540478905,2
G?Oc_w,7,4.720638540478905,2
G?GQSK,7,4.720638540478905,2
G??MPg,7,4.720638540478905,2
G@?@Ww,7,4.720771850170261,3
GI?HOg,7,4.723744292237443,3
G??OZo,7,4.730504587155964,3
G@GO]?,7,4.730504587155964,3
G?CQPK,7,4.730504587155964,3
GG?OXo,7,4.730504587155964,3
GG?O[o,7,4.730504587155964,3
G?CAhW,7,4.730504587155964,3
GGC?g[,7,4.75417661097852,3
G??OXs,7,4.75417661097852,3
G??H`w,7,4.75417661097852,3
GI?GX_,7,4.75417661097852,3
G??oWs,7,4.75417661097852,3
G?C_g[,7,4.75417661097852,3
G?COW[,7,4.764778325123153,3
G??AXk,7,4.772121212121212,3
G???J{,7,4.772121212121212,3
G???Zk,7,4.772121212121212,3
G?OHGk,7,4.772121212121212,3
G?D@Ko,7,4.772121212121212,3
G?D@Ho,7,4.772121212121212,3
G@?M?w,7,4.772121212121212,3
GG?K_w,7,4.772121212121212,3
G?C_qK,7,4.772121212121212,3
GGCCG[,7,4.772121212121212,3
G@?M?[,7,4.772121212121212,3
G??JcW,7,4.772121212121212,3
G??Gz_,7,4.772121212121212,3
G??G^_,7,4.772121212121212,3
G??GZc,7,4.772121212121212,3
G@?G]_,7,4.772121212121212,3
G_?_g[,7,4.772121212121212,3
G?O_ok,7,4.772121212121212,3
G??OZS,7,4.772121212121212,3
G??OZK,7,4.772121212121212,3
G??GzG,7,4.772121212121212,3
G??sQS,7,4.772121212121212,3
G??gqc,7,4.772121212121212,3
G?C@MK,7,4.772121212121212,3
G?C?NK,7,4.772121212121212,3
G?C?J[,7,4.772121212121212,3
G@KCIG,7,4.772121212121212,3
G?D@?{,7,4.772121212121212,3
GGC?K[,7,4.772121212121212,3
G??Ha[,7,4.772121212121212,3
G??Haw,7,4.772121212121212,3
G??HeW,7,4.772121212121212,3
G?C@I[,7,4.772121212121212,3
G@G?g[,7,4.779537149817296,3
G??HWw,7,4.818766066838046,3
G???X{,7,4.818766066838046,3
G??@W{,7,4.818766066838046,3
G@??Y[,7,4.818766066838046,3
GGC?G{,7,4.818766066838046,3
G?C?H{,7,4.818766066838046,3
G?@_os,7,4.818766066838046,3
G??H_{,7,4.818766066838046,3
G@??W{,7,4.818766066838046,3
G`K?GK,7,4.818766066838046,3
G??OX[,7,4.818766066838046,3
G@?H_[,7,4.818766066838046,3
G??GXk,7,4.818766066838046,3
G@?GZ_,7,4.818766066838046,3
G@?GWk,7,4.818766066838046,3
G`??W[,7,4.818766066838046,3
G@?GYK,7,4.818766066838046,3
G???w{,7,4.862585034013605,3
G??OW{,7,4.862585034013605,3
G??GW{,7,4.9832826747720365,4
G@?GW[,7,4.9832826747720365,4
G??@xw,8,4.669609079445145,2
G?G_ww,8,4.694587628865979,2
G??Axw,8,4.733688415446072,2
GG?_ww,8,4.733688415446072,2
GGA?ww,8,4.733688415446072,2
G?CQXW,8,4.733688415446072,2
GG??xw,8,4.733688415446072,2
G?B@po,8,4.733688415446072,2
GG??{w,8,4.733688415446072,2
G??_yw,8,4.733688415446072,2
G??WrK,8,4.733688415446072,2
G???zw,8,4.733688415446072,2
GoCOZ?,8,4.753387533875339,2
G?GOZc,8,4.753387533875339,2
G?D_Xc,8,4.753387533875339,2
G?@Hbo,8,4.753387533875339,2
G`?HGs,8,4.753387533875339,2
GI?@Ww,8,4.765432098765432,2
G?_ZB_,8,4.774104683195592,2
G?L@cK,8,4.774104683195592,2
G@@GtC,8,4.774104683195592,2
G??ZCs,8,4.774104683195592,2
G??CzW,8,4.774104683195592,2
G?@Hdo,8,4.774104683195592,2
G@`?pK,8,4.774104683195592,2
G??_uw,8,4.774104683195592,2
G?B?xo,8,4.774104683195592,2
G?F?Xc,8,4.774104683195592,2
G??GnS,8,4.774104683195592,2
G@AIOk,8,4.774104683195592,2
G@AAWw,8,4.774104683195592,2
G?GO]c,8,4.774104683195592,2
G???~W,8,4.774104683195592,2
G???^w,8,4.774104683195592,2
G??guK,8,4.774104683195592,2
G?`@pg,8,4.774104683195592,2
G??WvC,8,4.774104683195592,2
G?@Ht_,8,4.774104683195592,2
G??_}o,8,4.774104683195592,2
