sig,m,eci,d,diam
E?Bw,5,15,5,2
E?dg,5,24,5,3
E?Fg,5,24,5,3
EAIW,5,29,5,4
E?NO,5,31,5,4
E@hO,5,38,5,5
E?Fw,6,19,4,2
E?NW,6,27,4,3
ECSw,6,27,4,3
E?No,6,28,4,3
EAN_,6,29,4,3
E@ow,6,30,4,3
EGEw,6,30,4,3
E@hW,6,30,4,3
E?lo,6,34,4,4
EGcw,6,35,4,4
EoSo,6,36,4,3
ECXo,6,36,4,4
E@po,6,39,4,4
E?Nw,7,23,4,2
EGFw,7,23,4,2
E_lo,7,28,4,2
E?lw,7,30,4,3
EANg,7,31,4,3
E?^o,7,32,4,3
E@NW,7,32,4,3
EAMw,7,32,4,3
EoSw,7,32,4,3
E@pw,7,33,4,3
EC\o,7,33,4,3
EKSw,7,33,4,3
EELg,7,34,4,3
E@ro,7,34,4,3
E`dg,7,36,4,3
E`ow,7,36,4,3
E_Lw,7,36,4,3
E@lo,7,38,4,4
E`LW,7,42,4,4
EANw,8,27,3,2
E@Nw,8,27,3,2
E@rw,8,27,3,2
E?^w,8,27,3,2
E@vo,8,32,3,2
E_lw,8,32,3,2
EDZW,8,32,3,2
E?~o,8,32,3,2
E`lo,8,32,3,2
ED^_,8,32,3,2
E@lw,8,34,3,3
EIMw,8,35,3,3
EAlw,8,35,3,3
ETXW,8,36,3,3
ES\o,8,36,3,3
E@^o,8,36,3,3
EPVW,8,36,3,3
EC\w,8,37,3,3
EPTw,8,38,3,3
E`NW,8,38,3,3
EiKw,8,39,3,3
E`Lw,8,42,3,3
E?~w,9,26,3,2
E@^w,9,31,3,2
EC^w,9,31,3,2
EINw,9,31,3,2
EDZw,9,31,3,2
E`Nw,9,31,3,2
EHuw,9,36,3,2
EElw,9,36,3,2
E{Sw,9,36,3,2
EqLw,9,36,3,2
Es\o,9,36,3,2
E@~o,9,36,3,2
E`lw,9,36,3,2
E`^o,9,36,3,2
EBzo,9,36,3,2
ED\w,9,39,3,3
EBxw,9,40,3,3
EImw,9,40,3,3
EQlw,9,40,3,3
E`\w,9,43,3,3
E@~w,10,30,3,2
EqNw,10,35,3,2
ED^w,10,35,3,2
EB^w,10,35,3,2
EBzw,10,35,3,2
E`^w,10,35,3,2
EMlw,10,40,3,2
EFxw,10,40,3,2
E`~o,10,40,3,2
Es\w,10,40,3,2
Eqlw,10,40,3,2
Ed\w,10,40,3,2
EJ]w,10,44,3,3
ET\w,10,44,3,3
EB~w,11,34,2,2
E`~w,11,34,2,2
EJ^w,11,39,2,2
Ed^w,11,39,2,2
ER^w,11,39,2,2
EFzw,11,39,2,2
ER~o,11,44,2,2
Et\w,11,44,2,2
Er\w,11,44,2,2
EF~w,12,33,2,2
EJ~w,12,38,2,2
ER~w,12,38,2,2
Er^w,12,43,2,2
E}lw,12,48,2,2
EN~w,13,37,2,2
Er~w,13,42,2,2
E^~w,14,36,2,2
E~~w,15,30,1,1
